Age,Gender,Income,Marital_Status,Education,Occupation,Claim_Amount
79.0,Female,248970.0,Single,Bachelor's,CEO,7955.0
32.0,Male,80450.0,Single,Bachelor's,CEO,7634.0
33.0,Female,286673.0,Single,Bachelor's,Engineer,2116.0
52.0,Female,285679.0,Married,PhD,Waiter,4882.0
61.0,Female,105204.0,Single,Master's,CEO,9431.0
50.0,Female,162248.0,Single,Master's,Doctor,8439.0
60.0,Female,63912.0,Single,Master's,CEO,2690.0
66.0,Female,270547.0,Single,Master's,Doctor,7111.0
102.42154354562416,Female,251333.0,Single,Master's,Doctor,59216.0
25.0,Male,231471.0,Single,Master's,CEO,8292.0
102.42154354562416,Female,93740.0,Married,Master's,CEO,8597.0
50.0,Female,260261.0,Single,Bachelor's,Teacher,8743.0
45.0,Female,30793.0,Married,Master's,Teacher,1230.0
31.0,Male,210086.0,Married,PhD,Doctor,7950.0
79.0,Female,172122.0,Married,Master's,CEO,3742.0
79.0,Female,278432.0,Married,Master's,Engineer,59942.0
31.0,Female,41147.0,Single,Bachelor's,Engineer,8204.0
71.0,Female,48372.0,Single,Bachelor's,Engineer,340.0
47.0,Female,213197.0,Married,PhD,CEO,6356.0
69.0,Male,286098.0,Married,Bachelor's,Waiter,3318.0
77.0,Female,16070.0,Married,PhD,Waiter,8694.0
24.0,Female,7118.0,Married,Bachelor's,Teacher,2375.0
46.0,Male,171244.0,Married,Master's,Engineer,7708.0
56.0,Female,75596.0,Single,Master's,Teacher,84557.0
69.0,Male,60061.0,Married,Bachelor's,CEO,2420.0
22.0,Female,138026.0,Married,Master's,CEO,1162.0
39.0,Male,202333.0,Married,Master's,CEO,5145.0
20.0,Female,51559.0,Single,Bachelor's,Doctor,29404.0
42.0,Female,404427.9082545613,Married,PhD,CEO,6918.0
43.0,Female,192725.0,Single,PhD,Waiter,1780.0
102.42154354562416,Female,38286.0,Single,PhD,Waiter,9308.0
61.0,Male,44019.0,Single,PhD,Waiter,62008.0
36.0,Male,199162.0,Single,Master's,Doctor,30305.0
53.0,Male,404427.9082545613,Single,Bachelor's,Teacher,81100.0
39.0,Female,25481.0,Single,Bachelor's,Engineer,98216.0
59.0,Female,25608.0,Married,Bachelor's,CEO,8002.0
68.0,Female,185781.0,Married,Bachelor's,CEO,7900.0
65.0,Male,119455.0,Married,PhD,Doctor,50551.0
35.0,Female,288718.0,Married,PhD,Doctor,76284.0
57.0,Male,162001.0,Married,Bachelor's,CEO,9166.0
55.0,Female,68649.0,Married,Master's,CEO,2639.0
61.0,Female,12749.0,Married,Master's,Engineer,7123.0
63.0,Female,42156.0,Single,Bachelor's,Engineer,2734.0
26.0,Female,156092.0,Single,PhD,Engineer,56230.0
28.0,Male,38198.0,Single,Bachelor's,Doctor,1678.0
71.0,Female,152441.0,Single,Bachelor's,Doctor,8600.0
49.0,Female,158055.0,Single,PhD,Waiter,9308.0
40.0,Female,253012.0,Single,Master's,Doctor,53938.0
60.0,Male,16779.0,Married,PhD,Teacher,8663.0
21.0,Female,37280.0,Single,Bachelor's,Engineer,7851.0
28.0,Female,173068.0,Married,PhD,CEO,6111.0
58.0,Male,251657.0,Single,PhD,CEO,2138.0
49.0,Female,246358.0,Married,PhD,CEO,6376.0
72.0,Female,141188.0,Married,Master's,Engineer,73863.0
40.0,Male,37940.0,Single,Bachelor's,Teacher,8082.0
72.0,Male,249451.0,Single,Bachelor's,CEO,5196.0
46.0,Female,215922.0,Single,Master's,Waiter,8429.0
41.0,Female,76403.0,Single,PhD,CEO,7880.0
39.0,Female,60101.0,Married,Bachelor's,CEO,2797.0
29.0,Male,46345.0,Married,PhD,Waiter,4061.0
43.0,Female,23808.0,Single,Bachelor's,CEO,2631.0
44.0,Male,131242.0,Single,Bachelor's,Engineer,72477.0
31.0,Female,404427.9082545613,Single,PhD,Teacher,1766.0
77.0,Female,208231.0,Single,PhD,CEO,2770.0
18.0,Female,42523.0,Single,Master's,Engineer,8280.0
50.0,Female,252295.0,Single,Bachelor's,CEO,5329.0
67.0,Female,231365.0,Single,Bachelor's,Doctor,9621.0
33.0,Female,262051.0,Married,Master's,CEO,4739.0
56.0,Male,294078.0,Married,PhD,Engineer,62535.0
69.0,Female,294297.0,Single,PhD,CEO,8493.0
42.0,Female,58734.0,Single,Bachelor's,CEO,5606.0
65.0,Male,119541.0,Married,Master's,CEO,5937.0
51.0,Male,227911.0,Single,Bachelor's,CEO,6210.0
31.0,Female,273227.0,Single,Bachelor's,CEO,3563.0
78.0,Female,246206.0,Married,Master's,CEO,9701.0
102.42154354562416,Female,160995.0,Single,Bachelor's,Waiter,14333.0
53.0,Male,136395.0,Single,PhD,CEO,6645.0
38.0,Female,201853.0,Single,PhD,Waiter,99668.0
28.0,Female,26061.0,Married,Bachelor's,Engineer,5915.0
62.0,Female,137055.0,Married,Master's,CEO,2500.0
62.0,Female,12355.0,Single,Bachelor's,Waiter,3482.0
63.0,Female,256654.0,Single,Bachelor's,CEO,1574.0
61.0,Female,152138.0,Married,Master's,CEO,8728.0
46.0,Female,136706.0,Married,Master's,Engineer,7214.0
68.0,Female,30602.0,Married,Bachelor's,Waiter,8430.0
40.0,Male,37940.0,Single,Bachelor's,Teacher,8082.0
65.0,Female,42274.0,Single,Bachelor's,Teacher,9559.0
63.0,Female,290619.0,Single,PhD,Engineer,48148.0
20.0,Female,125410.0,Married,Master's,CEO,8315.0
102.42154354562416,Female,183707.0,Single,Bachelor's,CEO,5006.0
63.0,Female,45467.0,Married,Bachelor's,Doctor,2625.0
45.0,Male,39012.0,Married,Bachelor's,Engineer,52481.0
63.0,Female,45467.0,Married,Bachelor's,Doctor,2625.0
20.0,Male,32692.0,Married,Bachelor's,Waiter,2063.0
78.0,Female,164153.0,Single,Master's,Waiter,39993.0
32.0,Male,294810.0,Married,PhD,Teacher,9858.0
31.0,Male,99468.0,Single,Master's,CEO,6851.0
65.0,Female,42274.0,Single,Bachelor's,Teacher,9559.0
65.0,Female,12547.0,Married,PhD,Waiter,4171.0
38.0,Female,404427.9082545613,Single,Master's,Engineer,64486.0
57.0,Female,179670.0,Single,Master's,Doctor,9753.0
56.0,Male,105417.0,Single,PhD,CEO,9730.0
53.0,Female,105258.0,Married,Bachelor's,Engineer,7721.0
72.0,Female,44036.0,Single,Master's,Engineer,4728.0
30.0,Female,25655.0,Single,Bachelor's,CEO,1514.0
79.0,Male,9299.0,Married,Master's,Waiter,9925.0
18.0,Female,42523.0,Single,Master's,Engineer,8280.0
56.0,Male,102333.0,Single,Bachelor's,Engineer,78411.0
48.0,Female,240903.0,Single,Master's,CEO,1262.0
21.0,Female,37280.0,Single,Bachelor's,Engineer,7851.0
29.0,Male,46345.0,Married,PhD,Waiter,4061.0
27.0,Female,43244.0,Single,PhD,Doctor,9469.0
102.42154354562416,Female,40269.0,Married,PhD,Waiter,6163.0
58.0,Female,44186.0,Single,Bachelor's,CEO,839.0
59.0,Female,160478.0,Married,PhD,CEO,5433.0
71.0,Female,120413.0,Single,PhD,Waiter,8360.0
22.0,Male,200869.0,Married,PhD,CEO,3737.0
78.0,Female,17424.0,Married,PhD,Waiter,2487.0
40.0,Female,253012.0,Single,Master's,Doctor,53938.0
64.0,Female,76301.0,Married,Bachelor's,Engineer,4075.0
49.0,Female,262319.0,Single,Master's,CEO,2020.0
39.0,Male,205355.0,Married,Bachelor's,Waiter,96806.0
64.0,Female,180230.0,Married,Bachelor's,CEO,5024.0
55.0,Female,275929.0,Single,Master's,Doctor,23028.0
79.0,Male,43316.0,Single,PhD,CEO,7828.0
54.0,Female,177054.0,Single,PhD,CEO,7345.0
50.0,Female,260261.0,Single,Bachelor's,Teacher,8743.0
70.0,Male,82748.0,Single,Master's,CEO,2598.0
