iter	MultiClass
0	1.383914204
1	1.382138092
2	1.380894854
3	1.379970134
4	1.378545653
5	1.377442226
6	1.376536334
7	1.375913787
8	1.374987423
9	1.374168485
10	1.373478983
11	1.372788034
12	1.371627248
13	1.37097305
14	1.370270271
15	1.369646172
16	1.369042519
17	1.368351019
18	1.367897069
19	1.36728302
20	1.366765649
21	1.366273347
22	1.365713616
23	1.365232572
24	1.364806359
25	1.364039981
26	1.363636693
27	1.363234777
28	1.362627263
29	1.362277206
30	1.361859145
31	1.361438289
32	1.360778361
33	1.360337582
34	1.35982265
35	1.359435839
36	1.358973345
37	1.358615166
38	1.358241261
39	1.357883196
40	1.357571394
41	1.357108675
42	1.356729701
43	1.356417254
44	1.356063557
45	1.355848392
46	1.355568734
47	1.355240189
48	1.354839362
49	1.354537615
50	1.354190752
51	1.353845973
52	1.353657177
53	1.353290776
54	1.353007699
55	1.352748962
56	1.35248636
57	1.352238119
58	1.351967666
59	1.351738244
60	1.351434479
61	1.351153713
62	1.350799899
63	1.350534251
64	1.350184584
65	1.349892974
66	1.349596414
67	1.349315129
68	1.349066466
69	1.348867012
70	1.348668811
71	1.34844076
72	1.348194816
73	1.348005313
74	1.347679729
75	1.347341738
76	1.347051385
77	1.346855012
78	1.346616542
79	1.346270097
80	1.345921586
81	1.345613981
82	1.345411803
83	1.345191228
84	1.344888185
85	1.344697465
86	1.344403684
87	1.344059176
88	1.343831436
89	1.343583854
90	1.343282479
91	1.343056146
92	1.342830548
93	1.342506234
94	1.342308667
95	1.342009226
96	1.341673292
97	1.34146779
98	1.341275779
99	1.34090569
100	1.340572152
101	1.340248349
102	1.340040139
103	1.339854736
104	1.339623448
105	1.339313408
106	1.338950112
107	1.338722616
108	1.338497588
109	1.338227617
110	1.338042329
111	1.337829815
112	1.337638311
113	1.33735826
114	1.33703858
115	1.336815179
116	1.336604953
117	1.336435637
118	1.336120199
119	1.335862612
120	1.335607955
121	1.335293767
122	1.335018068
123	1.334844957
124	1.334578778
125	1.334367864
126	1.334021909
127	1.333829113
128	1.333573164
129	1.333305509
130	1.333031255
131	1.332782796
132	1.332562298
133	1.332309511
134	1.332004169
135	1.331817021
136	1.331599791
137	1.331354354
138	1.331118102
139	1.330875041
140	1.33062498
141	1.33037417
142	1.330116656
143	1.329886489
144	1.329552808
145	1.329352352
146	1.329085124
147	1.328814715
148	1.328578443
149	1.328418454
150	1.328088043
151	1.327862112
152	1.327578698
153	1.32740198
154	1.327094376
155	1.326840129
156	1.326655193
157	1.326341317
158	1.326083552
159	1.325939183
160	1.325702941
161	1.325517133
162	1.325262575
163	1.324938247
164	1.324702638
165	1.324470433
166	1.324225552
167	1.32388991
168	1.323653337
169	1.323369042
170	1.323145307
171	1.322931241
172	1.322615148
173	1.322426461
174	1.322141021
175	1.321923812
176	1.321705663
177	1.321459173
178	1.321313824
179	1.321118555
180	1.320895896
181	1.320664944
182	1.320389228
183	1.320181966
184	1.319971971
185	1.319746032
186	1.319590642
