iter	Passed	Remaining
0	16	16529
1	30	15464
2	44	14756
3	58	14639
4	77	15414
5	99	16480
6	121	17174
7	139	17242
8	153	16880
9	171	16947
10	185	16718
11	199	16429
12	211	16073
13	224	15836
14	237	15623
15	249	15364
16	261	15124
17	273	14932
18	285	14740
19	297	14588
20	309	14441
21	321	14291
22	334	14200
23	346	14086
24	357	13942
25	370	13885
26	384	13858
27	397	13781
28	407	13659
29	420	13612
30	433	13534
31	445	13479
32	456	13385
33	468	13313
34	482	13312
35	495	13277
36	507	13201
37	520	13175
38	533	13145
39	546	13106
40	556	13025
41	570	13015
42	585	13025
43	597	12988
44	611	12971
45	622	12910
46	635	12889
47	648	12868
48	662	12851
49	675	12840
50	687	12791
51	701	12781
52	713	12753
53	726	12733
54	738	12684
55	751	12667
56	765	12666
57	780	12670
58	794	12679
59	806	12641
60	819	12608
61	832	12591
62	845	12578
63	858	12552
64	870	12528
65	884	12515
66	898	12516
67	911	12495
68	923	12462
69	936	12444
70	948	12413
71	962	12410
72	975	12390
73	989	12387
74	1003	12381
75	1020	12402
76	1033	12392
77	1048	12388
78	1064	12410
79	1079	12417
80	1094	12421
81	1109	12415
82	1123	12413
83	1137	12404
84	1151	12398
85	1166	12395
86	1181	12394
87	1198	12420
88	1212	12406
89	1226	12401
90	1253	12520
91	1274	12573
92	1289	12578
93	1307	12599
94	1320	12577
95	1334	12566
96	1347	12541
97	1360	12517
98	1372	12493
99	1386	12476
100	1399	12454
101	1411	12429
102	1423	12399
103	1437	12383
104	1450	12359
105	1461	12330
106	1473	12301
107	1485	12271
108	1498	12249
109	1510	12222
110	1522	12197
111	1536	12178
112	1547	12150
113	1559	12118
114	1572	12101
115	1585	12083
116	1598	12062
117	1612	12053
118	1624	12029
119	1637	12010
120	1649	11982
121	1662	11963
122	1674	11939
123	1686	11915
124	1699	11893
125	1711	11869
126	1722	11843
127	1735	11820
128	1748	11805
129	1760	11784
130	1771	11753
131	1784	11732
132	1795	11707
133	1808	11689
134	1820	11667
135	1833	11647
136	1846	11633
137	1858	11609
138	1870	11583
139	1882	11565
140	1911	11644
141	1924	11630
142	1936	11606
143	1949	11587
144	1961	11565
145	1973	11545
146	1985	11520
147	1998	11505
148	2010	11483
149	2024	11469
150	2035	11446
151	2047	11425
152	2060	11407
153	2072	11382
154	2085	11366
155	2098	11354
156	2110	11334
157	2123	11317
158	2144	11343
159	2156	11320
160	2167	11294
161	2179	11272
162	2191	11254
163	2205	11243
164	2216	11219
165	2229	11202
166	2242	11185
167	2254	11166
168	2266	11142
169	2278	11123
170	2291	11106
171	2303	11087
172	2315	11067
173	2327	11050
174	2340	11033
175	2352	11016
176	2364	10993
177	2377	10979
178	2390	10965
179	2404	10952
180	2415	10931
181	2428	10913
182	2443	10910
183	2456	10895
184	2469	10878
185	2481	10860
186	2493	10840
187	2505	10822
188	2517	10802
189	2529	10785
190	2542	10770
191	2556	10756
192	2567	10736
193	2579	10718
194	2592	10701
195	2604	10682
196	2615	10662
197	2626	10639
198	2640	10627
199	2651	10607
200	2664	10590
201	2675	10569
202	2687	10552
203	2699	10533
204	2711	10514
205	2723	10498
206	2735	10480
207	2748	10465
208	2759	10444
209	2772	10431
210	2785	10414
211	2797	10397
212	2808	10378
213	2820	10361
214	2833	10343
215	2847	10334
216	2859	10316
217	2871	10301
